model,BN,lr,time,acc
1,B0,0.001,7,71.2
2,B0,0.0001,7,79.3
3,B1,0.001,7,72.0
4,B1,0.0001,7,74.8
5,B2,0.001,8,65.3
6,B2,0.0001,8,65.2
