model block_config;lr;time;accuracy(%)

1 (6, 12, 24, 16);0.001;7;60.2  
2 (6, 12, 24, 16);0.01;7;73.8
3 (6, 12, 24, 16);0.1;7;78.3  
4 (6, 12, 32, 24);0.001;9;60.7
5 (6, 12, 32, 24);0.01;9;64.5
6 (6, 12, 32, 24);0.1;9;79.8
7 (8, 16, 40, 32);0.001;12;68.2
8 (8, 16, 40, 32);0.01;12;69.7
9 (8, 16, 40, 32);0.1;12;83.5
