model,num_layers,patch_size,lr,epochs,tempo,acc
1,12,32,0.001,100,72,60.3
2,12,32,0.001,70,47,52.7
3,6,16,0.0001,70,81,70.7
4,6,16,0.0001,50,58,65.3
5,24,64,0.0001,50,34,61.3
6,24,64,0.0001,30,20,68.8
